rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,checkout_status,rental_id_prev,car_id_prev,checkin_type_prev,state_prev,delay_at_checkout_in_minutes_prev,previous_ended_rental_id_prev,time_delta_with_previous_rental_in_minutes_prev,checkout_status_prev,delay_at_checkin_in_minutes,checkin_status
549135,394752,mobile,canceled,,,,Unknown,,,,,,,,,,
549261,360829,mobile,ended,-12.0,,,In time,,,,,,,,,,
549266,411687,mobile,ended,-11.0,,,In time,,,,,,,,,,
549273,175887,connect,ended,-26.0,,,In time,,,,,,,,,,
549290,364907,connect,ended,-49.0,,,In time,,,,,,,,,,
549345,369881,connect,ended,22.0,,,Late,,,,,,,,,,
549444,177058,mobile,ended,144.0,,,Late,,,,,,,,,,
549446,391174,mobile,ended,69.0,,,Late,,,,,,,,,,
549499,408814,mobile,ended,19.0,,,Late,,,,,,,,,,
549558,328016,mobile,ended,10.0,,,Late,,,,,,,,,,
549579,273263,mobile,ended,-5.0,,,In time,,,,,,,,,,
549674,390702,connect,ended,-127.0,,,In time,,,,,,,,,,
549692,358131,mobile,ended,-158.0,,,In time,,,,,,,,,,
549808,310219,connect,ended,54.0,,,Late,,,,,,,,,,
549874,409690,mobile,ended,3.0,,,Late,,,,,,,,,,
549901,383481,mobile,ended,201.0,,,Late,,,,,,,,,,
549923,407730,mobile,ended,167.0,,,Late,,,,,,,,,,
549983,356540,mobile,ended,,,,Unknown,,,,,,,,,,
550000,378182,mobile,ended,-136.0,,,In time,,,,,,,,,,
550134,294883,mobile,ended,-158.0,,,In time,,,,,,,,,,
550211,407838,mobile,ended,20.0,,,Late,,,,,,,,,,
550224,358567,connect,ended,-7.0,,,In time,,,,,,,,,,
550246,408578,mobile,ended,-15.0,,,In time,,,,,,,,,,
550248,382901,mobile,ended,-127.0,545782.0,60.0,In time,545782.0,382901.0,mobile,ended,-9.0,,,In time,,
550459,295815,mobile,ended,82.0,,,Late,,,,,,,,,,
550537,239798,connect,ended,37.0,,,Late,,,,,,,,,,
550660,399967,mobile,ended,0.0,,,In time,,,,,,,,,,
550723,380886,mobile,ended,,545855.0,120.0,Unknown,545855.0,380886.0,mobile,ended,74.0,,,Late,-46.0,In time
550808,346652,connect,ended,-41.0,,,In time,,,,,,,,,,
550929,310681,connect,ended,-25.0,,,In time,,,,,,,,,,
550964,229360,mobile,canceled,,,,Unknown,,,,,,,,,,
551031,409711,mobile,ended,-1283.0,,,In time,,,,,,,,,,
551040,383343,mobile,ended,40.0,,,Late,,,,,,,,,,
551069,359880,connect,ended,-22.0,549192.0,180.0,In time,549192.0,359880.0,connect,ended,45.0,,,Late,-135.0,In time
551108,291723,mobile,ended,211.0,,,Late,,,,,,,,,,
551128,382939,mobile,ended,97.0,,,Late,,,,,,,,,,
551137,295783,connect,ended,16.0,,,Late,,,,,,,,,,
551227,341710,mobile,ended,159.0,,,Late,,,,,,,,,,
